CLAVE,NOMBRE,ESTADO,MUNICIPIO,ORG_CUENCA,CUENCA,TIPO_EST,INICIO,MAS_RECIENTE,SITUACION,LONGITUD,LATITUD,ALTITUD,DIARIOS,MENSUALES,EXTREMOS,NORMALES_1961_1990,NORMALES_1971_2000,NORMALES_1981_2010,NORMALES_1991_2020
1017, PRESA POTRERILLOS,AGUASCALIENTES,SAN JOSÉ DE GRACIA,LERMA SANTIAGO PACÍFICO,RÍO SAN PEDRO,CLIMATOLÓGICA,1942-05-01,2024-07-15,OPERANDO,-102.4436111,22.23277778,2171.9,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01017.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01017.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01017.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01017.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01017.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01017.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01017.txt
1018, PRESA PLUTARCO ELIAS CALLES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,LERMA SANTIAGO PACÍFICO,PRESA CALLES,CLIMATOLÓGICA,1933-11-01,2024-07-15,OPERANDO,-102.4152778,22.14138889,2053.1,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01018.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01018.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01018.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01018.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01018.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01018.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01018.txt
1019, PRESA JOCOQUE,AGUASCALIENTES,PABELLÓN DE ARTEAGA,LERMA SANTIAGO PACÍFICO,RÍO SAN PEDRO,CLIMATOLÓGICA,1942-07-01,2024-07-15,OPERANDO,-102.3594444,22.12805556,2006.2,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01019.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01019.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01019.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01019.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01019.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01019.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01019.txt
1020, PRESA LA CODORNIZ,AGUASCALIENTES,CALVILLO,LERMA SANTIAGO PACÍFICO,RÍO JUCHIPILA 1,CLIMATOLÓGICA,1963-08-01,2024-07-14,OPERANDO,-102.6741667,21.99666667,1850.2,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01020.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01020.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01020.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01020.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01020.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01020.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01020.txt
1021, RANCHO VIEJO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,LERMA SANTIAGO PACÍFICO,PRESA CALLES,CLIMATOLÓGICA,1959-08-01,2024-04-30,OPERANDO,-102.5111111,22.12333333,2126.6,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01021.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01021.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01021.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01021.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01021.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01021.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01021.txt
1022, SAN BARTOLO,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,RÍO ENCARNACIÓN,CLIMATOLÓGICA,1949-05-01,2024-04-30,OPERANDO,-102.1702778,21.74805556,1997.6,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01022.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01022.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01022.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01022.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01022.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01022.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01022.txt
1023, CALVILLO (DGE),AGUASCALIENTES,CALVILLO,LERMA SANTIAGO PACÍFICO,RÍO JUCHIPILA 1,CLIMATOLÓGICA,1959-01-01,2021-12-31,OPERANDO,-102.7116667,21.83666667,1684.6,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01023.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01023.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01023.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01023.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01023.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01023.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01023.txt
1024, SAN ISIDRO,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,RÍO ENCARNACIÓN,CLIMATOLÓGICA,1967-07-01,2023-12-31,OPERANDO,-102.1038889,21.77861111,2004.4,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01024.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01024.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01024.txt,,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01024.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01024.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01024.txt
1026, TEPEZALA,AGUASCALIENTES,TEPEZALÁ,LERMA SANTIAGO PACÍFICO,RÍO SAN PEDRO,CLIMATOLÓGICA,1962-07-01,2024-03-31,OPERANDO,-102.1688889,22.22361111,2110.2,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01026.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01026.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01026.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01026.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01026.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01026.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01026.txt
1027, VENADERO (DGE),AGUASCALIENTES,JESÚS MARÍA,LERMA SANTIAGO PACÍFICO,PRESA EL NIÁGARA,CLIMATOLÓGICA,1949-06-01,2024-04-30,OPERANDO,-102.4633333,21.87722222,2025.6,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Diarios/ags/dia01027.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Mensuales/ags/mes01027.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Med-Extr/ags/medex01027.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales6190/ags/nor6190_01027.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales7100/ags/nor7100_01027.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales8110/ags/nor8110_01027.txt,https://smn.conagua.gob.mx/tools/RESOURCES/Normales_Climatologicas/Normales9120/ags/nor9120_01027.txt
